Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
r_1146	episterol transport	s_0659[e]  -> s_0657[c] 	(YIL013C OR YOR011W)	0	  0.00	   Inf	  0.00
r_1147	ergosterol transport	s_0668[e]  -> s_0666[c] 	(YIL013C OR YOR011W)	0	  0.00	   Inf	  0.00
r_1148	ergosterol transport	s_0665[ce]  -> s_0666[c] 	(YIL013C OR YOR011W)	0	  0.00	   Inf	  0.00
r_1149	ethanolamine transport	s_0684[e]  -> s_0683[c] 		0	  0.00	   Inf	  0.00
r_1151	fadH2 transport	s_0690[m]  -> s_0689[c] 	YIL134W	0	  0.00	   Inf	  0.00
r_1161	fecosterol transport	s_0702[e]  -> s_0700[c] 	(YIL013C OR YOR011W)	0	  0.00	   Inf	  0.00
r_1162	fecosterol transport	s_0699[ce]  -> s_0700[c] 	(YIL013C OR YOR011W)	0	  0.00	   Inf	  0.00
r_1164	folic acid transport	s_0720[e]  -> s_0719[c] 		0	  0.00	   Inf	  0.00
r_1165	GDP-mannose antiport	s_0743[c] + s_0783[g]  -> s_0744[g] + s_0782[c] 	YGL225W	0	  0.00	   Inf	  0.00
r_1166	glucose transport	s_0565[e]  -> s_0563[c] 	(YDL245C OR YDL247W OR YDR342C OR YDR343C OR YDR345C OR YDR536W OR YEL069C OR YFL011W OR YHR092C OR YHR094C OR YHR096C OR YJL214W OR YJL219W OR YJR158W OR YJR160C OR YLR081W OR YMR011W OR YNR072W OR YOL156W)	0	  0.00	   Inf	  0.00
r_1167	glutathione transport	s_0751[e]  -> s_0750[c] 	YJL212C	0	  0.00	   Inf	  0.00
r_1168	glutathione transport	s_0750[c]  -> s_0753[v] 	(YDR135C OR YLL015W)	0	  0.00	   Inf	  0.00
r_1169	glycero-3-phospho-1-inositol transport	s_0080[e]  -> s_0079[c] 	YCR098C	0	  0.00	   Inf	  0.00
r_1170	glycero-3-phosphocholine transport	s_1435[e]  -> s_1433[c] 	YCR098C	0	  0.00	   Inf	  0.00
r_1171	glycerol transport	s_0766[e] + s_0796[e]  -> s_0765[c] + s_0794[c] 	(YDR536W OR YGL084C OR YPL189W)	0	  0.00	   Inf	  0.00
r_1172	glycerol transport via channel	s_0765[c]  -> s_0766[e] 	YLL043W	0	  0.00	   Inf	  0.00
r_1173	glycine transport	s_0796[e] + s_1004[e]  -> s_0794[c] + s_1003[c] 	(YCL025C OR YKR039W OR YOL020W OR YOR348C OR YPL265W)	0	  0.00	   Inf	  0.00
r_1174	glycogen vacuolar 'transport' via autophagy	s_0773[c]  -> s_0774[v] 		0	  0.00	   Inf	  0.00
r_1175	GTP/GDP translocase	s_0741[m] + s_0785[c] + s_0794[c]  -> s_0739[c] + s_0786[m] + s_0799[m] 	YDL198C	0	  0.00	   Inf	  0.00
r_1176	guanine transport	s_0788[e] + s_0796[e]  -> s_0787[c] + s_0794[c] 	(YER056C OR YER060W OR YER060W_A OR YGL186C)	0	  0.00	   Inf	  0.00
r_1177	inositol transport	s_0796[e] + s_1154[e]  -> s_0794[c] + s_1153[c] 	(YDR497C OR YOL103W)	0	  0.00	   Inf	  0.00
r_1178	iron (II) transport	s_0925[e]  -> s_0924[c] 	YMR319C	0	  0.00	   Inf	  0.00
r_1179	iron (II) transport	s_0924[c]  -> s_0926[m] 		0	  0.00	   Inf	  0.00
r_1180	isoamyl acetate transport	s_0927[c]  -> s_0928[e] 		0	  0.00	   Inf	  0.00
r_1181	isobutyl acetate transport	s_0935[c]  -> s_0936[e] 		0	  0.00	   Inf	  0.00
r_1182	isopentenyl diphosphate transport	s_0943[c]  -> s_0945[m] 		0	  0.00	   Inf	  0.00
r_1183	L-alanine transport	s_0796[e] + s_0956[e]  -> s_0794[c] + s_0955[c] 	(YBR068C OR YCL025C OR YDR046C OR YKR039W OR YOL020W OR YOR348C OR YPL265W)	0	  0.00	   Inf	  0.00
r_1184	L-arganine transport	s_0796[e] + s_0966[e]  -> s_0794[c] + s_0965[c] 	(YEL063C OR YKR039W OR YNL270C)	0	  0.00	   Inf	  0.00
r_1185	L-arganine transport	s_0802[v] + s_0965[c]  -> s_0794[c] + s_0968[v] 	YBR293W	0	  0.00	   Inf	  0.00
r_1186	L-asparagine transport	s_0796[e] + s_0970[e]  -> s_0794[c] + s_0969[c] 	(YCL025C OR YDR508C OR YKR039W OR YPL265W)	0	  0.00	   Inf	  0.00
r_1187	L-asparagine transport	s_0802[v] + s_0969[c]  -> s_0794[c] + s_0972[v] 	YJR001W	0	  0.00	   Inf	  0.00
r_1188	L-aspartate transport	s_0802[v] + s_0972[v]  -> s_0794[c] + s_0969[c] 	(YKL146W OR YNL101W)	0	  0.00	   Inf	  0.00
r_1189	L-aspartate transport	s_0802[v] + s_0977[v]  -> s_0794[c] + s_0973[c] 	YER119C	0	  0.00	   Inf	  0.00
r_1190	L-aspartate transport	s_0796[e] + s_0974[e]  -> s_0794[c] + s_0973[c] 	(YFL055W OR YKR039W OR YPL265W)	0	  0.00	   Inf	  0.00
r_1191	L-carnitine transport	s_0022[e]  -> s_0021[c] 	YBR132C	0	  0.00	   Inf	  0.00
r_1192	L-cystine transport	s_0796[e] + s_0982[e]  -> s_0794[c] + s_0981[c] 	(YBR068C OR YBR069C OR YCL025C OR YDR046C OR YDR508C OR YKR039W OR YOL020W)	0	  0.00	   Inf	  0.00
r_1193	L-cystine transport	s_0802[v] + s_0985[v]  -> s_0794[c] + s_0984[c] 	YCR075C	0	  0.00	   Inf	  0.00
r_1194	L-glutamate transport	s_0991[c]  -> s_0993[m] 	YPR021C	0	  0.00	   Inf	  0.00
r_1195	L-glutamate transport	s_0802[v] + s_0996[v]  -> s_0794[c] + s_0991[c] 	YER119C	0	  0.00	   Inf	  0.00
r_1196	L-glutamate transport	s_0796[e] + s_0992[e]  -> s_0794[c] + s_0991[c] 	(YCL025C OR YFL055W OR YKR039W OR YPL265W)	0	  0.00	   Inf	  0.00
r_1197	L-glutamine transport	s_0802[v] + s_0999[c]  -> s_0794[c] + s_1002[v] 	YJR001W	0	  0.00	   Inf	  0.00
r_1198	L-glutamine transport	s_0802[v] + s_1002[v]  -> s_0794[c] + s_0999[c] 	(YKL146W OR YNL101W)	0	  0.00	   Inf	  0.00
r_1199	L-glutamine transport	s_0796[e] + s_1000[e]  -> s_0794[c] + s_0999[c] 	(YCL025C OR YDR508C OR YKR039W OR YPL265W)	0	  0.00	   Inf	  0.00
r_1200	L-histidine transport, vacuolar	s_0802[v] + s_1006[c]  -> s_0794[c] + s_1009[v] 	(YBR293W OR YCL069W OR YMR088C)	0	  0.00	   Inf	  0.00
r_1201	L-histidine transport	s_0796[e] + s_1007[e]  -> s_0794[c] + s_1006[c] 	(YBR069C OR YGR191W OR YKR039W)	0	  0.00	   Inf	  0.00
r_1202	L-isoleucine transport	s_1019[v]  -> s_1016[c] 	YCL038C	0	  0.00	   Inf	  0.00
r_1203	L-isoleucine transport	s_0802[v] + s_1016[c]  -> s_0794[c] + s_1019[v] 	YJR001W	0	  0.00	   Inf	  0.00
r_1204	L-isoleucine transport	s_0802[v] + s_1019[v]  -> s_0794[c] + s_1016[c] 	(YKL146W OR YNL101W)	0	  0.00	   Inf	  0.00
r_1205	L-isoleucine transport	s_0796[e] + s_1017[e]  -> s_0794[c] + s_1016[c] 	(YBR068C OR YBR069C OR YCL025C OR YDR046C OR YKR039W)	0	  0.00	   Inf	  0.00
r_1206	L-lactate transport	s_0063[c]  -> s_0065[m] 	YKL217W	0	  0.00	   Inf	  0.00
r_1207	L-lactate transport	s_0064[e] + s_0796[e]  -> s_0063[c] + s_0794[c] 	YKL217W	0	  0.00	   Inf	  0.00
r_1208	L-leucine transport, vacuoluar	s_1024[v]  -> s_1021[c] 	YCL038C	0	  0.00	   Inf	  0.00
r_1209	L-leucine transport, vacuoluar	s_0802[v] + s_1021[c]  -> s_0794[c] + s_1024[v] 	YJR001W	0	  0.00	   Inf	  0.00
r_1210	L-leucine transport, vacuoluar	s_0802[v] + s_1024[v]  -> s_0794[c] + s_1021[c] 	(YKL146W OR YNL101W)	0	  0.00	   Inf	  0.00
r_1211	L-leucine transport	s_0796[e] + s_1022[e]  -> s_0794[c] + s_1021[c] 	(YBR068C OR YBR069C OR YCL025C OR YDR046C OR YDR508C OR YKR039W)	0	  0.00	   Inf	  0.00
r_1212	L-lysine transport	s_0802[v] + s_1025[c]  -> s_0794[c] + s_1028[v] 	(YBR293W OR YCL069W OR YMR088C)	0	  0.00	   Inf	  0.00
r_1213	L-lysine transport	s_0796[e] + s_1026[e]  -> s_0794[c] + s_1025[c] 	(YKR039W OR YNL268W)	0	  0.00	   Inf	  0.00
r_1214	L-methionine transport	s_0796[e] + s_1030[e]  -> s_0794[c] + s_1029[c] 	(YBR068C OR YCL025C OR YDR046C OR YDR508C OR YGR055W OR YHL036W OR YKR039W)	0	  0.00	   Inf	  0.00
r_1215	L-phenylalanine transport	s_0796[e] + s_1033[e]  -> s_0794[c] + s_1032[c] 	(YBR068C OR YCL025C OR YDR046C OR YKR039W OR YOL020W)	0	  0.00	   Inf	  0.00
r_1216	L-proline transport	s_0796[e] + s_1036[e]  -> s_0794[c] + s_1035[c] 	(YKR039W OR YOR348C)	0	  0.00	   Inf	  0.00
r_1217	L-serine transport	s_0796[e] + s_1041[e]  -> s_0794[c] + s_1039[c] 	(YCL025C OR YDR508C OR YFL055W OR YKR039W OR YPL265W)	0	  0.00	   Inf	  0.00
r_1218	L-threonine transport	s_0796[e] + s_1046[e]  -> s_0794[c] + s_1045[c] 	(YBR069C OR YCL025C OR YDR046C OR YDR508C OR YKR039W)	0	  0.00	   Inf	  0.00
r_1219	L-tryptophan transport	s_0796[e] + s_1049[e]  -> s_0794[c] + s_1048[c] 	(YBR068C OR YBR069C OR YDR046C OR YKR039W OR YOL020W)	0	  0.00	   Inf	  0.00
r_1220	L-tyrosine transport	s_1055[v]  -> s_1051[c] 	YCL038C	0	  0.00	   Inf	  0.00
r_1221	L-tyrosine transport	s_0802[v] + s_1051[c]  -> s_0794[c] + s_1055[v] 	(YBR293W OR YJR001W)	0	  0.00	   Inf	  0.00
r_1222	L-tyrosine transport	s_0802[v] + s_1055[v]  -> s_0794[c] + s_1051[c] 	(YKL146W OR YNL101W)	0	  0.00	   Inf	  0.00
r_1223	L-tyrosine transport	s_0796[e] + s_1052[e]  -> s_0794[c] + s_1051[c] 	(YBR068C OR YBR069C OR YCL025C OR YDR046C OR YKR039W OR YOL020W)	0	  0.00	   Inf	  0.00
r_1224	L-valine transport	s_0796[e] + s_1057[e]  -> s_0794[c] + s_1056[c] 	(YBR068C OR YBR069C OR YCL025C OR YDR046C OR YKR039W)	0	  0.00	   Inf	  0.00
r_1225	lanosterol transport	s_1061[e]  -> s_1059[c] 	(YIL013C OR YOR011W)	0	  0.00	   Inf	  0.00
r_1226	malate transport	s_0066[c] + s_1326[m]  -> s_0068[m] + s_1322[c] 	YLR348C	0	  0.00	   Inf	  0.00
r_1227	maltose transport	s_0796[e] + s_1106[e]  -> s_0794[c] + s_1105[c] 	(YBR298C OR YDL247W OR YGR289C OR YJR160C)	0	  0.00	   Inf	  0.00
r_1228	N,N'-diformyldityrosine transport	s_1185[c]  -> s_1186[e] 	YBR180W	0	  0.00	   Inf	  0.00
r_1229	NAD transport	s_1198[c]  -> s_1200[m] 	(YEL006W OR YIL006W)	0	  0.00	   Inf	  0.00
r_1230	NAD transport	s_0585[m] + s_1198[c]  -> s_0584[c] + s_1200[m] 	YIL006W	0	  0.00	   Inf	  0.00
r_1231	NAD transport	s_0424[m] + s_1198[c]  -> s_0423[c] + s_1200[m] 	YIL006W	0	  0.00	   Inf	  0.00
r_1232	NAD transport	s_0616[m] + s_1198[c]  -> s_0615[c] + s_1200[m] 	YIL006W	0	  0.00	   Inf	  0.00
r_1235	nicotinate transport	s_1220[e]  -> s_1219[c] 	YGR260W	0	  0.00	   Inf	  0.00
r_1236	octadecanoate (n-C18:0) transport	s_1449[c]  -> s_1451[p] 		0	  0.00	   Inf	  0.00
r_1237	ornithine transport	s_0794[c] + s_1268[m]  -> s_0799[m] + s_1266[c] 	YOR130C	0	  0.00	   Inf	  0.00
r_1238	orntithine transport	s_0796[e] + s_1267[e]  -> s_0794[c] + s_1266[c] 	(YEL063C OR YKR039W)	0	  0.00	   Inf	  0.00
r_1239	oxaloacetate transport	s_0794[c] + s_1271[c]  -> s_0799[m] + s_1273[m] 	YKL120W	0	  0.00	   Inf	  0.00
r_1241	pantothenate transport	s_0032[e] + s_0796[e]  -> s_0031[c] + s_0794[c] 	YCR028C	0	  0.00	   Inf	  0.00
r_1242	pentaprenyl diphosphate transport	s_1311[c]  -> s_1313[m] 		0	  0.00	   Inf	  0.00
r_1243	phenethyl acetate transport	s_1316[c]  -> s_1317[e] 		0	  0.00	   Inf	  0.00
r_1244	phosphate transport	s_0796[e] + s_1324[e]  -> s_0794[c] + s_1322[c] 	(YBR296C OR YCR037C OR YJL198W OR YML123C OR YNR013C)	0	  0.00	   Inf	  0.00
r_1245	phosphate transport	s_0794[c] + s_1322[c]  -> s_0799[m] + s_1326[m] 	(YER053C OR YJR077C)	0	  0.00	   Inf	  0.00
r_1249	potassium transport	s_0796[e] + s_1374[e]  -> s_0794[c] + s_1373[c] 	YJL129C	0	  0.00	   Inf	  0.00
r_1251	putrescine transport	s_0794[c] + s_1390[e]  -> s_0796[e] + s_1389[c] 	(YLL028W OR YOR273C)	0	  0.00	   Inf	  0.00
r_1252	putrescine transport	s_0802[v] + s_1389[c]  -> s_0794[c] + s_1391[v] 	(YLL028W OR YOR273C)	0	  0.00	   Inf	  0.00
r_1253	pyridoxine symport	s_0796[e] + s_1397[e]  -> s_0794[c] + s_1396[c] 	YGL186C	0	  0.00	   Inf	  0.00
r_1254	pyruvate transport	s_0796[e] + s_1400[e]  -> s_0794[c] + s_1399[c] 	YKL217W	0	  0.00	   Inf	  0.00
