uniprot,mw,abundance
Q12030,23004.4,4.16e-05
P38083,46443.3,1.4e-06
P10869,58105.3,0.00063
P20435,17894.9,0.000142
Q02950,39467.1,2.6600000000000003e-05
P53297,78776.4,8.290000000000001e-05
P29055,38208.9,0.000108
Q08282,78954.4,1.57e-05
P40366,18771.6,3.5e-05
P36531,20101.0,1.83e-05
P38808,19048.3,1.2e-06
P38351,51771.2,4.77e-05
P38347,47954.0,5.99e-06
Q04991,56177.1,3.6099999999999997e-06
P0CW41,68681.1,3.7999999999999996e-08
Q03783,11244.7,1.24e-06
P39959,50309.2,1.06e-07
P33313,44107.9,6.2e-05
Q06340,52520.0,1.82e-05
P41909,100057.5,1.8000000000000001e-06
Q06200,50314.2,1.28e-06
P53326,81183.4,4.5e-05
P27654,20716.8,0.000335
P28003,47096.0,1.4299999999999999e-06
Q06151,40763.0,0.000138
P25366,41651.9,5.47e-05
Q06821,50833.3,1.46e-06
Q12676,47847.7,2.8199999999999998e-05
P38299,60654.7,1.56e-06
P53222,12916.7,1.15e-06
Q07651,34146.5,8.35e-06
P25604,43315.7,1.13e-05
P39980,70566.3,6.45e-06
P0CH64,25147.7,1.3e-06
P25045,62198.6,0.000249
P09950,59362.0,0.00026
P53302,13390.1,1.54e-06
P38824,17319.0,1.95e-05
Q06651,32664.9,1.1e-05
P43599,41011.5,3.39e-05
P28495,30689.5,7.97e-05
P40527,130203.1,1.4099999999999999e-05
Q07623,25238.4,0.000118
P38931,159965.3,4.72e-06
P48567,45269.8,0.000232
Q3E765,8364.0,
Q99332,67309.4,3.41e-06
P53912,41158.7,0.00022
P34248,67505.4,1.49e-05
Q12113,201995.5,1.9299999999999997e-06
Q02710,20633.1,2.65e-06
P40458,58967.5,8.72e-05
P40440,11638.2,
Q8TGM3,3523.0,
P40151,66551.0,1.47e-05
P40474,59636.7,2.24e-05
P53862,28634.8,1.42e-06
P32770,79294.2,4.73e-05
P41835,58052.3,2.44e-06
Q12106,34006.5,2.99e-06
P38346,61224.3,1.48e-06
P10834,34644.8,9.980000000000001e-06
P04817,65789.8,5.56e-05
Q8TGK7,9659.3,
Q03722,76140.8,1.55e-05
P40260,54192.5,9.35e-06
P33775,92666.0,0.000408
P38137,60502.3,0.000127
Q12158,63248.5,2.08e-05
P54885,49728.9,0.000253
P39926,33716.9,4.61e-05
P07884,50249.3,2.67e-05
P40089,10415.0,9.24e-06
Q02776,55098.2,8.46e-05
Q08207,11676.8,1.29e-06
P12683,115631.8,8.35e-05
Q06216,74121.7,1.21e-06
Q03280,374051.1,2.8899999999999998e-05
O13576,15108.8,1.24e-06
Q04003,55429.4,1.12e-05
P21827,53002.4,0.000298
P25584,16604.1,2.67e-06
Q8TGS6,3101.6,5.839999999999999e-07
P47030,68792.2,4.86e-06
P32491,56765.2,2.2800000000000002e-05
P26449,38437.0,1.56e-05
Q00955,250318.7,0.00083
P39962,60274.6,3.41e-05
P36022,471292.3,5.79e-06
P50276,63222.6,6.7e-05
Q04869,38211.8,0.00021
P36042,21244.8,1.46e-06
P07866,163134.9,7.83e-06
P34231,81012.5,2.8999999999999998e-06
Q12493,26957.6,1.8000000000000001e-06
O13522,18188.1,
P35731,31192.5,1.89e-05
P53269,27236.9,0.0
P14843,41070.5,0.00028
P38189,14408.1,1.3e-06
P38855,32022.5,1.19e-06
P33339,120190.6,1.18e-05
Q04602,85691.5,3.66e-05
Q01477,101918.9,0.00012
P32528,201800.7,8.659999999999999e-05
Q07993,38593.7,1.8400000000000002e-06
P30665,104991.8,0.000111
P32349,74013.7,6.86e-05
O13297,61836.4,5.61e-05
P53226,60746.6,8.890000000000001e-06
P38809,40682.7,9.529999999999999e-06
P29509,34233.4,0.003037
Q03067,11284.8,1.75e-05
Q02606,42483.0,8.03e-06
P33412,36856.2,6.19e-05
P13090,59983.6,3.31e-05
Q08280,55076.8,5.940000000000001e-06
P18898,42682.0,4.1899999999999995e-05
P36036,23785.0,3.3600000000000004e-05
P39525,47559.9,2.3899999999999998e-05
P24784,67925.0,2.8199999999999998e-05
Q04344,17677.7,0.000146
Q03702,41016.1,2.23e-06
P38873,177614.1,3.15e-06
P32350,83852.9,1.77e-06
P38717,142839.1,2.6e-05
P47136,164382.2,1.6899999999999997e-05
P53092,16747.4,2.67e-06
Q12426,12700.0,1.55e-06
Q3E823,7536.9,4.7e-08
P38152,32187.7,1.59e-05
P34224,22293.4,9.09e-06
P03871,43224.5,
P0CF35,26495.8,
P25385,27503.4,9.18e-06
P43580,17185.8,1.28e-06
Q12331,30626.9,4.65e-05
P38954,60874.6,6.54e-06
Q8TGL6,7941.4,
P36058,19610.0,1.24e-06
Q03981,19468.5,7.53e-06
P41277,27939.0,0.004194
P31334,29814.0,4.1200000000000005e-05
P48353,25012.5,2.47e-05
P10863,24899.6,8.949999999999999e-06
P33416,91340.3,0.000225
P87264,12183.9,1.26e-06
P53032,33206.8,1.17e-05
P33338,108880.1,0.000409
P38328,42473.4,5.8700000000000004e-05
P53955,74792.1,2.3199999999999998e-05
P32862,128244.9,4.34e-06
P43550,62123.1,1.28e-06
Q08620,14676.5,1.91e-06
P36144,31632.3,5.52e-05
Q06597,14885.2,1.7e-08
Q06686,27536.3,1.48e-06
Q06163,102668.5,1.26e-06
P38848,66146.9,2.2799999999999998e-06
P53083,52001.0,6.17e-06
P07834,86086.9,1.6499999999999999e-06
P38229,73327.2,1.23e-07
P54000,33096.8,8.65e-05
P36046,44491.8,0.000119
Q06494,38593.1,3.64e-05
Q06892,46254.4,4.32e-05
P05738,21580.3,0.002312
P14737,148357.0,6.2300000000000005e-06
Q04226,40619.0,1.22e-05
P47161,92014.6,0.00058
P48016,136884.5,1.2700000000000001e-06
P38713,113769.0,1.74e-05
Q03530,35918.6,2.9e-07
P39105,71639.9,5.690000000000001e-06
P38831,11891.3,1.1399999999999999e-06
P87191,14100.2,1.24e-06
P09932,66118.3,2.31e-06
Q08601,47972.9,4.48e-05
Q12392,49690.0,2.96e-06
P53937,16106.3,9.27e-06
P43497,8906.0,0.000321
Q04431,44651.7,8.54e-06
P53826,16058.3,1.26e-06
Q04311,72745.4,4.99e-05
P38267,18113.1,1.51e-06
P35996,14919.0,4.25e-05
P47053,29228.6,1.15e-06
P53178,22657.3,2.3899999999999998e-05
Q07084,78528.0,1.6899999999999997e-05
P32361,126965.0,4.41e-06
Q06604,64701.7,1.04e-05
P23248,28832.9,0.004239
P14306,24354.5,2.8100000000000002e-05
P38738,77745.0,0.000116
P47027,87258.6,2.48e-05
P33330,43409.9,0.000337
Q06385,39275.2,6.0700000000000005e-05
P38124,61624.3,2.24e-06
P23644,42032.8,0.000195
P38899,68862.9,1.26e-06
P10363,47693.0,0.000235
Q8TGQ6,5646.6,
P38205,77878.6,0.000298
Q08373,12939.3,9.279999999999999e-07
Q06674,47350.1,1.49e-06
P09880,95342.1,8.659999999999999e-05
P47055,24842.8,1.18e-06
Q03125,26750.3,7.01e-06
P18962,93374.8,1.53e-05
P46669,36203.2,0.000105
P25573,47165.6,3.6899999999999996e-05
P43602,79715.9,1.29e-06
P39975,26817.2,1.42e-06
P40568,65668.8,1.55e-05
P32479,93855.8,9.55e-06
Q08058,23780.3,1.19e-06
Q03219,31139.0,0.000412
P32792,44244.5,3.63e-06
Q03144,24905.9,3.67e-06
P21691,76953.3,1.71e-06
P38884,36510.1,1.7e-05
Q08491,84780.7,7.37e-06
P53868,63786.1,4.55e-05
P33199,14960.1,1.22e-06
P24871,53824.8,2e-06
P13517,32607.3,9.39e-05
P27801,107394.3,3.1899999999999996e-05
Q12182,36904.0,1.95e-05
Q08229,55917.0,2.9199999999999998e-05
Q12327,13164.6,1.0500000000000001e-06
P38626,31498.2,0.000144
P39517,57546.7,0.00046
Q08993,27857.1,1.28e-06
P50085,34420.1,6.65e-05
P53973,80044.6,3.34e-05
Q03516,107682.2,0.000127
P53221,14252.0,0.002395
Q02873,28582.2,2.42e-05
P38864,12877.9,2.4500000000000003e-06
P06115,64575.9,2.9e-05
P25337,18462.8,3.26e-05
P0C5N7,6780.1,
Q07351,54382.7,7.82e-06
P23639,27158.1,0.000215
Q06839,123060.9,3.82e-05
Q2V2Q3,7725.1,
P53949,22469.0,4.27e-05
Q12100,69620.1,3.13e-05
P31386,36463.6,1.37e-06
P43577,18130.0,8.36e-05
Q07747,36974.4,1.17e-06
P53094,166972.2,9e-06
P0C2I8,49005.1,5.3700000000000004e-05
P32467,63908.6,1.02e-06
P33750,56806.7,0.000114
Q3E785,9359.0,9.72e-06
Q08300,19560.7,1.2700000000000001e-06
P52923,41335.5,1.45e-05
Q06321,136054.6,6.730000000000001e-06
P40316,41819.5,1.21e-06
P06778,52406.3,1.5199999999999998e-05
P43569,33087.3,5.67e-05
P0CD99,68201.9,1.4e-06
P38145,26188.0,8.36e-05
Q12043,84730.9,9.28e-06
Q02685,26865.9,1.49e-05
P06701,111352.0,1.82e-05
P08468,94540.1,6.3e-06
Q07648,16745.7,5.7799999999999995e-05
P36133,19240.3,1.13e-06
P32342,18451.7,5.19e-05
P53068,28765.9,1.38e-05
Q07471,68359.0,2.58e-05
P40006,24981.3,0.000112
Q06213,17901.1,4.29e-05
O13545,14171.7,5.739999999999999e-07
P38818,68253.6,3.18e-05
Q12448,12924.3,1.34e-06
P54115,54405.6,0.005292
P47039,50079.7,4.66e-05
Q12178,17504.2,0.00054
P22543,100924.3,2.07e-05
P32585,34278.0,1.15e-05
P32642,27475.0,7.290000000000001e-05
Q04930,51668.8,1.1399999999999999e-06
Q07987,13174.1,1.6699999999999999e-06
P21595,56079.7,1.8000000000000001e-06
P40217,38742.7,0.000444
P53309,64324.1,6.97e-05
Q99177,39854.9,1.82e-05
P11154,130079.8,0.000235
P40551,13241.6,1.22e-06
P50106,14581.3,5.5299999999999996e-05
P47150,27828.6,3.49e-05
Q06504,22921.5,1.3e-05
Q06695,14719.9,1.56e-06
P05748,24463.9,0.001414
Q03795,60049.5,1.24e-06
P53879,36823.6,3.98e-05
Q08241,13436.7,1.8400000000000002e-06
P53291,13206.7,1.1399999999999999e-06
P38928,90751.9,1.06e-05
A0A023PXN9,16978.5,1.35e-06
Q05584,31320.9,0.000179
Q04597,11970.5,1.35e-06
O13583,14222.5,2.08e-07
Q08634,35206.2,2e-05
P32323,73335.9,6.01e-06
P42900,73270.2,3.49e-05
P35719,25081.3,0.000124
Q12286,30272.2,1.72e-06
P38767,64199.7,7.9e-08
Q04067,30500.9,4.18e-05
P53599,180501.4,6.16e-06
P53158,24417.6,1.63e-05
P13574,77855.5,2.35e-05
Q12339,28828.8,0.000144
Q6Q571,13411.3,1.06e-06
Q04018,37376.0,1.3600000000000001e-06
Q05024,26480.1,2.42e-05
Q07800,47911.0,5.73e-05
P11927,50666.8,2.1899999999999996e-07
P06208,68398.6,0.000352
Q8TGN0,4233.9,2.95e-07
Q08844,80303.8,1.18e-06
P40557,81221.5,6.35e-05
P53730,62670.7,5.68e-05
P03876,98065.2,6.999999999999999e-09
P38342,35968.9,0.000131
P53127,163240.5,2.23e-06
Q12307,13735.9,1.1e-06
P53736,28657.6,2.55e-05
P38690,46855.0,8.65e-06
Q3E763,7670.9,2.07e-07
P50278,35652.9,4.74e-05
A0A023PYG5,12273.1,
P39971,24467.7,1.29e-06
Q07438,13604.1,2.8499999999999997e-07
Q12123,40933.8,0.00084
P47988,86827.9,1.0199999999999999e-05
P53878,46517.5,0.000137
P53142,54345.9,1.6499999999999999e-06
P53311,16242.1,6.429999999999999e-05
P30619,83479.1,1.35e-05
Q99188,35105.7,2.5400000000000002e-06
P38904,161617.4,3.13e-06
P42942,45217.5,0.000113
P13188,93140.8,0.000548
Q07927,12079.9,1.13e-06
P40693,36570.5,9.22e-05
Q12202,82320.5,1.52e-06
P48565,61527.9,1.25e-06
P38879,18702.2,0.000996
Q08387,108527.8,2.13e-06
Q06522,34844.6,3.53e-05
P24031,52745.8,0.000154
Q08646,43107.1,2.69e-05
P47062,12913.7,1.0500000000000001e-06
Q08023,66703.8,4.76e-06
P25648,166840.8,1.67e-05
P0CL40,18575.1,6.999999999999999e-09
A0A023PZK9,14454.5,1.25e-06
P18414,25774.8,7.95e-05
P46974,155072.0,3.97e-06
P32591,92876.1,4.65e-05
Q06208,45655.4,7.719999999999999e-06
P25354,27557.6,1.3e-06
P18562,24591.7,0.000239
Q08749,21976.6,4.41e-05
P04911,14002.5,0.000169
Q12233,12932.3,0.000155
P47084,59755.2,4.74e-05
P40489,72707.4,9.03e-06
P38839,17033.0,3.53e-05
Q06107,36760.5,5.7e-05
Q08929,71314.3,1.4499999999999999e-06
P47043,98854.8,3.77e-06
P0C5R7,8063.3,1.26e-06
Q3E732,4527.5,
Q12523,57314.4,1.09e-05
Q03375,15768.9,9.31e-06
P47019,19301.4,7.329999999999999e-05
P34223,46968.7,0.000108
P0CG63,42826.4,0.000197
P34251,34522.4,1.38e-06
P25374,54470.8,6.28e-05
P40058,20498.2,1.4e-06
P15108,80858.0,0.003688
P25364,63645.9,5.53e-06
Q08911,41709.7,2.6e-06
Q07896,75572.8,0.000118
P07283,29054.1,0.000568
Q06833,87325.5,3.99e-05
Q12292,46645.4,3.67e-06
Q3E825,9637.3,4e-09
P87287,15544.9,1.34e-06
P03878,63336.2,3.45e-07
P0CL27,17365.2,6.350000000000001e-07
P0CL37,18443.9,6.999999999999999e-09
P53974,71382.0,1.7199999999999998e-05
P53128,68543.7,9.25e-05
P36132,42748.0,6.56e-05
P33327,124306.9,0.00017
P15019,37034.7,0.001891
P25620,13188.6,1.72e-06
P43592,25910.7,7.73e-06
Q05521,33509.2,3.71e-05
P43579,78728.4,2.5e-05
P35735,40461.9,2.8199999999999998e-05
Q06616,25424.5,4.5299999999999997e-05
P32832,49623.0,5.0700000000000006e-05
P39515,16590.5,4.44e-05
A0A023PXB5,11200.5,1.06e-06
P53237,28134.5,6.85e-06
P07236,54097.6,1.84e-05
Q06703,35676.4,1.24e-06
P38241,40946.2,3.8100000000000005e-05
Q05040,59278.5,6.53e-05
P38729,17574.7,1.8999999999999998e-06
Q06490,63287.7,1.7e-08
P41813,94390.9,9.66e-06
P0CY03,4710.5,7e-08
P39016,95426.4,2.45e-05
P53111,38076.7,0.000141
P40219,16387.3,2.38e-05
Q04964,11829.4,0.000288
P16521,115924.9,0.011435
P17649,52942.7,5.6200000000000004e-05
P47048,52832.8,2.58e-05
P37292,53693.0,0.000407
Q08683,79253.5,4.58e-06
P38170,86152.0,9.83e-06
Q9URQ5,9181.7,5.36e-05
A0A023PZI1,12401.9,5.879999999999999e-07
Q05530,13423.7,2.17e-06
Q03964,49448.9,6.670000000000001e-05
Q3E810,6560.9,1.34e-07
Q12085,49058.0,1.64e-05
P38195,28528.4,1.13e-07
Q12445,34246.8,2.62e-05
Q04264,147024.2,0.000132
Q08686,34213.2,6.879999999999999e-05
P39566,11611.0,1.22e-06
P38269,13222.6,1.21e-06
P57744,9762.1,5.29e-05
Q08560,16172.6,1.6299999999999999e-06
P38961,46004.8,4.6399999999999996e-05
Q3E807,8644.2,
Q08732,85692.1,6.809999999999999e-05
P38013,19108.8,0.003903
Q12398,48864.7,1.38e-06
Q12000,39531.7,7.46e-05
P10081,44684.5,0.001302
P38130,47490.8,3.29e-05
Q9URQ3,37104.9,1.08e-05
P0C5M2,10125.2,1.33e-07
P39742,21604.4,8.55e-05
P53691,42067.3,0.000581
P25625,42538.8,3.73e-05
P41815,67369.6,6.18e-05
P53245,13606.0,1.31e-06
P12954,134321.7,4.6700000000000003e-05
Q03730,43744.0,4.36e-05
Q03833,99482.5,2.55e-05
Q06201,22353.2,1.51e-06
P48589,15461.8,0.002549
Q12242,75314.5,9.159999999999999e-05
P0CX35,29432.7,0.001194
P29056,66903.3,4.02e-05
P47170,181972.4,5.68e-06
P38783,15307.9,3.49e-05
Q99271,109347.2,2.1899999999999997e-05
P0C2J7,207989.6,1.94e-07
Q03855,198608.7,4.32e-06
P53898,33664.9,7.740000000000001e-05
P50942,133346.6,2.5399999999999997e-05
P53830,32271.5,1.5e-05
P36019,24640.0,8.7e-06
P40532,16511.8,1.29e-05
P14742,80035.5,0.0003
Q06287,27899.8,0.000368
P53124,48559.8,4.440000000000001e-06
Q04053,70736.8,2.3899999999999998e-05
P0CX26,10108.2,0.000631
P24276,139955.0,5.8e-05
Q8TGK5,18623.1,
P53720,42827.0,4.44e-05
P36105,15186.4,0.001373
Q06199,23289.6,6.24e-06
Q02336,50564.8,2.34e-05
P40445,61908.6,1.15e-06
P39961,91083.0,1.46e-06
Q03834,140058.8,5.5e-05
Q3E737,5049.0,
P40364,28465.2,4.1899999999999995e-05
P32773,32169.0,1.8799999999999998e-06
Q05930,70520.1,1.01e-06
P28320,32325.6,2.6399999999999998e-05
P53045,36481.4,0.000824
P34162,22888.3,1.6899999999999997e-05
P0CY11,14811.3,1.34e-06
P07702,155321.8,0.000317
P38279,33493.8,1.57e-06
Q00539,56977.1,2.61e-05
P40965,99225.5,1.5800000000000001e-06
P0CX49,20593.7,0.002433
P41735,26061.0,1.72e-06
Q03629,22454.6,3.31e-05
Q99382,20762.9,9.369999999999998e-06
Q03028,34225.7,5.93e-05
P48562,93928.1,5.53e-06
P40107,37030.0,0.00037
P40051,57984.3,5.0799999999999995e-05
P53866,86927.4,1.73e-05
P53921,13269.0,3.5699999999999997e-06
Q12220,106322.1,0.000154
P53165,72890.1,3.08e-05
P40152,37155.3,1.01e-05
P0CY09,24291.4,8.72e-07
P53167,41900.9,3e-08
Q03713,18482.7,4.45e-05
Q8TGR9,3839.6,
P06182,30071.2,5.97e-05
Q08723,38302.9,0.000287
P54005,38766.8,7.8e-06
P80667,42711.5,6.92e-05
P25378,23336.0,2.42e-05
P39940,91810.2,2.93e-05
Q12408,19048.9,6.64e-05
P38429,23037.7,1.2800000000000001e-05
Q12469,75343.1,6.4900000000000005e-06
Q04410,41105.3,0.000124
P34111,132146.8,7.34e-06
P38306,24207.5,2.02e-05
P46970,119908.5,0.000126
P49686,42786.8,1.99e-06
P40016,60377.3,0.000172
P34241,203286.5,7.670000000000001e-05
P53186,13575.7,1.3e-06
P46950,61300.1,1.2700000000000001e-06
P07269,63362.5,5.65e-05
Q06344,72384.6,9.120000000000001e-05
P32462,50624.8,5.52e-05
P50896,95340.7,1.36e-05
Q12175,102177.5,1.0500000000000001e-06
P25623,96143.5,7.3e-05
P53187,24466.8,1.2e-06
Q03652,55291.6,9.74e-06
P0CE89,12862.7,9.98e-07
P53090,56169.2,0.000734
P38197,29120.5,0.000144
Q3E781,4090.9,1.59e-07
P20053,52425.7,1.99e-05
Q12462,26889.8,4.93e-05
P43591,39881.9,3.48e-06
P40001,14026.9,2.4100000000000002e-06
P48412,44964.0,2.08e-05
P26785,22277.6,0.001494
P32569,78450.5,4.76e-05
Q00245,25303.7,0.000136
P47085,38478.2,8.18e-06
P36035,69367.7,1.8400000000000002e-06
P0CX88,12879.4,2.37e-06
P19657,102138.6,0.001075
P53827,13566.0,6.440000000000001e-05
P25554,29375.4,2.67e-05
P47095,27423.1,1.4400000000000001e-05
P43594,18853.4,0.000106
P87262,13664.5,0.000937
P39723,72073.2,2.3e-05
P38226,45529.6,1.9699999999999998e-05
P15202,58555.1,1.6100000000000002e-05
P43539,11791.1,1.46e-06
P32074,104797.8,0.000897
P53261,69865.8,0.000179
O13511,12916.3,1.15e-06
P05749,13692.5,0.001365
O13562,14696.6,1.52e-06
P0CX62,49759.9,2.8900000000000003e-06
Q12017,32767.5,9.6e-05
P47033,89120.2,2.9e-05
P38288,47968.8,0.000145
Q04471,42902.9,2.62e-06
P47003,13663.2,1.21e-06
P40365,12755.1,1.0700000000000001e-06
P53317,22333.8,2.17e-05
P0C5L7,4458.5,1.8299999999999998e-07
P38254,86310.7,3.46e-05
P53241,69098.4,1.76e-05
Q8TGN9,17543.6,2.5000000000000002e-08
P09032,65671.0,0.00016
P51979,135075.4,1.32e-06
P40975,4853.1,0.000891
P20484,53679.0,6.659999999999999e-05
P46367,56721.1,0.000683
P36123,116959.3,1.01e-05
P53748,35671.0,1.7800000000000001e-06
P38740,35716.5,9.19e-06
P23624,33308.0,1.6499999999999999e-06
P39677,91278.1,2.07e-05
Q99190,36783.1,0.000269
P25621,58256.0,9.32e-06
Q02771,12286.3,8.19e-07
P25617,33594.3,6.23e-05
P40091,48151.0,7.290000000000001e-05
P47007,44872.3,1.12e-05
P53080,19260.0,1.21e-05
Q04432,25662.9,6.659999999999999e-05
Q12361,110707.6,5.4400000000000004e-06
P22007,48184.5,3.5e-05
P38295,51256.7,7.390000000000001e-05
Q6B0Y8,13417.3,
P16474,74434.4,0.003282
Q3E735,9788.7,
P53745,68089.6,1.31e-06
Q12133,21351.5,7.85e-05
P39927,46981.0,2.3199999999999998e-05
P38089,44175.2,6.55e-06
Q08900,13808.5,1.1399999999999999e-06
P25563,13545.6,1.0700000000000001e-06
P38293,16754.0,2.49e-05
P23285,22765.0,6.3e-06
P40962,27069.2,4.55e-05
P0CF19,24494.1,1.2e-06
P39720,118886.4,3.5600000000000002e-06
P13099,74379.6,0.0003
Q03942,55930.9,1.06e-05
P47159,49665.4,7.8e-08
P32468,46669.5,8.82e-05
Q99208,135653.3,1.32e-06
P40070,21281.5,0.0001
P41939,46555.6,5.29e-05
P37261,21231.3,2.43e-06
Q96VH1,9462.1,4.22e-05
P24868,54861.0,4.61e-06
Q05515,54312.8,0.000617
Q03195,68353.2,0.000326
Q99380,3982.7,0.000117
O13550,13727.6,1.4e-06
P32583,40971.7,0.000172
A0A023PZH1,13429.8,1.62e-07
Q06707,15118.7,3.77e-05
Q12309,82430.5,2.12e-05
P39924,62734.7,1.4499999999999999e-06
P33757,59919.8,1.6200000000000002e-06
P22470,65596.9,3.63e-06
P40100,33738.0,2.67e-06
P53194,13798.5,1.29e-06
Q08109,63520.4,2.44e-05
Q8TGJ2,3372.3,1.22e-06
P39732,86677.1,7.79e-06
P53284,13265.2,
P52893,66418.2,0.000108
P35995,82255.2,2.17e-06
P36056,72213.4,3.01e-05
P48239,41306.9,1.7e-06
P08465,53649.0,2.4100000000000003e-05
Q12265,53504.4,7.85e-05
P43596,90898.6,2.38e-05
P15646,34487.0,0.000441
P25379,39309.9,0.000393
Q03429,13936.3,5.38e-06
Q06137,58378.3,4.1200000000000005e-05
P39007,81531.4,5.81e-05
Q05775,29554.5,0.000267
P48606,12374.0,5.2600000000000005e-05
P25384,202105.6,2.71e-06
Q04341,13864.3,7.690000000000001e-06
Q08789,16206.1,1.4099999999999998e-06
P54860,109896.5,6.0700000000000005e-05
P36162,15053.6,1.36e-05
P38278,38573.4,7.93e-06
Q04120,21615.0,5.79e-05
P18411,22081.7,2.36e-05
Q03407,86272.6,6.22e-06
P53688,41780.0,5.52e-06
P41733,44748.4,2.02e-06
A0A023PXJ7,11678.0,5.809999999999999e-07
P53870,63886.8,2.37e-06
P38811,433141.3,1.06e-05
Q05919,50870.4,1.11e-05
P0C5R9,9362.1,2.2800000000000002e-05
P36087,19833.1,1.33e-06
P0C5P3,3344.2,
P53598,35035.8,0.000346
Q00416,252527.1,1.53e-05
P35176,25317.9,3.4e-05
Q02724,72404.9,8.47e-06
Q06244,29370.2,1.31e-06
P38742,129952.8,4.309999999999999e-06
Q12040,26177.9,0.000172
Q6B0Y6,14517.6,1.0900000000000002e-06
Q08428,15293.6,1.32e-06
P47114,57520.2,6.7e-06
A0A023PZG0,20294.9,
P38752,15382.9,1.3600000000000001e-06
Q04839,21584.8,0.000216
Q12111,12315.7,1.18e-06
P07267,44476.1,0.000113
Q12117,36205.0,0.001775
P53957,11309.0,1.1100000000000002e-06
Q12041,21535.0,2.73e-06
P11412,57515.0,0.000313
P53978,115852.8,0.000881
P28004,42490.4,1.9600000000000002e-05
P32775,81096.1,3.3799999999999995e-05
P41821,61544.0,2.85e-05
P15380,68789.1,4.4e-05
P18961,76665.1,1.53e-05
P38634,32224.4,9.47e-06
P04050,191570.4,0.000204
Q9ZZW3,5940.0,
Q12274,19407.9,1.19e-05
Q3E832,6135.2,
P38814,96402.6,6.01e-06
P22133,40728.2,0.00011
Q12239,39751.3,1.7800000000000002e-05
P23968,22597.9,8.25e-05
P28737,40339.8,3.85e-05
P53168,27487.5,3.28e-05
P0C5Q4,8828.9,
P46954,95998.5,1.28e-06
P28708,58948.7,2.13e-05
P38838,30631.5,1.7800000000000001e-06
Q12204,81769.0,7.54e-06
P38324,35869.2,1.31e-06
P42840,32309.6,4.3899999999999995e-06
P53043,57996.7,0.000171
P24521,50447.3,6.46e-05
P38345,15505.6,1.93e-05
Q03246,27645.3,4.79e-05
Q05892,31536.7,3.1e-05
P53847,88031.2,9.32e-05
P53941,33487.6,9.84e-06
P32486,80077.2,7.53e-05
Q01649,69062.5,3.2999999999999997e-06
P28007,21506.9,0.001701
P38303,11036.8,1.28e-06
P38305,14245.3,3.2599999999999997e-06
P53721,25352.5,0.000125
P39726,18782.1,0.000207
P24004,117271.2,2.42e-05
Q03957,60525.1,1.42e-05
P38696,42990.9,1.6100000000000002e-05
P53283,67588.1,1.5199999999999998e-05
Q06673,145052.8,1.74e-05
Q08689,19727.9,9e-05
P32487,68088.1,6.05e-05
P40485,77997.1,6.49e-05
P21623,61382.2,9.84e-07
P32381,44065.9,0.000158
P32913,63202.5,8.620000000000001e-05
Q8TGK8,10362.5,4.24e-07
Q96VH4,20993.0,7.68e-06
O13586,11961.4,1.6000000000000001e-06
P56508,9177.7,0.000231
Q12365,45379.8,1.3300000000000001e-05
