(+)-alpha-pinene	CC1=CCC2CC1C2(C)C
(2E)-dodecenoyl-CoA	CCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-eicosenoyl-CoA	CCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-heptenoyl-CoA	CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-hexacosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-hexadecenoyl-CoA	CCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-hexenoyl-CoA	CCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-nonenoyl-CoA	CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-octadecenoyl-CoA	CCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-octenoyl-CoA	CCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-pentadecenoyl-CoA	CCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-pentenoyl-CoA	CCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-tetracosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-tetradecenoyl-CoA	CCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-tricosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2R)-pristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2S)-pristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2S,3R)-3-Hydroxybutane-1,2,3-Tricarboxylate	CC(C(CC(=O)[O-])C(=O)[O-])(C(=O)[O-])O
(2S,6R,10R)-trimethyl-hendecanoyl-CoA	CC(C)CCCC(C)CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	CCCCCC=CCC=CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3S)-3-hydroxydodec-cis-6-enoyl-CoA	CCCCCC=CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3S)-3-hydroxylinoleoyl-CoA	CCCCCC=CCC=CCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3S)-citramalyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(C(=O)O)O)O
(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	CCCCCC=CCC=CCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3Z)-dodecenoyl-CoA	CCCCCCCCC=CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(5Z)-dodecenoyl-CoA	CCCCCCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(5Z,8Z,11Z)-eicosatrienoyl-CoA	CCCCCCCCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z)-octadecadienoic acid	CCCCCCCCC=CCC=CCCCCC(=O)O
(6Z,9Z)-octadecadienoyl-CoA	CCCCCCCCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(7Z)-octadecenoyl-CoA	CCCCCCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(7Z)-tetradecenoyl-CoA	CCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
(8Z,11Z)-eicosadienoyl-CoA	CCCCCCCCC=CCC=CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(8Z,11Z,14Z)-Eicosatrienoic Acid	CCCCCC=CCC=CCC=CCCCCCCC(=O)[O-]
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(9E)-octadecenoyl-CoA	CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(9E)-tetradecenoic acid	CCCCC=CCCCCCCCC(=O)O
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(R)-3-hydroxybutanoate	CC(CC(=O)O)O
(R)-3-hydroxybutanoyl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(R)-5-diphosphomevalonate	CC(CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O
(R)-5-phosphomevalonate	CC(CCOP(=O)(O)O)(CC(=O)O)O
(R)-S-lactoylglutathione	CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(R)-methylmalonyl-CoA	CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(R)-mevalonate	CC(CCO)(CC(=O)[O-])O
(S)-2-aminobutanoate	CCC(C(=O)O)N
(S)-3-hydroxy-11-cis-octadecenoyl-CoA	CCCCCCC=CCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O
(S)-3-hydroxy-2-methylbutyryl-CoA	CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(S)-3-hydroxybutyryl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxydodecanoyl-CoA	CCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxypalmitoleoyl-CoA	CCCCCCC=CCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxytetradecanoyl-CoA	CCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-sulfolactate	C(C(C(=O)O)O)S(=O)(=O)O
(S)-Glycerate	C(C(C(=O)O)O)O
(S)-dihydroorotate	C1C(NC(=O)NC1=O)C(=O)O
(S)-hydroxydecanoyl-CoA	CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-hydroxyhexanoyl-CoA	CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-hydroxyoctanoyl-CoA	CCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(Z)-But-2-Ene-1,2,3-Tricarboxylate	CC(=C(CC(=O)[O-])C(=O)[O-])C(=O)[O-]
(Z,Z,Z)-7,10,13-Hexadecatrienoic Acid	CCC=CCC=CCC=CCCCCCC(=O)O
(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	CC(C(=O)O)N
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	COC1=CC=C(C=C1)I
(indol-3-yl)acetamide	C1=CC=C2C(=C1)C(=CN2)CC(=O)N
1,1-dichloroethylene	C=C(Cl)Cl
1,1-dichloroethylene epoxide	C1C(O1)(Cl)Cl
1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal	COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C(C(=C1)O)C(CO)C(C=O)O
1,2,3,4-tetrahydro-beta-carboline	C1CNCC2=C1C3=CC=CC=C3N2
1,2-dehydrosalsolinol	CC1=NCCC2=CC(=C(C=C12)O)O
1,2-dibromoethane	C(CBr)Br
1,2-dihydronaphthalene-1,2-diol	C1=CC=C2C(C(C=CC2=C1)O)O
1,2-dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene	C1=CC=C2C3C(O3)C(C(C2=C1)O)O
1,2-dihydroxy-5-(methylthio)pent-1-en-3-one	CSCCC(=O)C(=CO)O
1,2-naphthoquinone	C1=CC=C2C(=C1)C=CC(=O)C2=O
1,3-bisphospho-D-glycerate	C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O
1,3-diaminopropane	C(CN)CN
1,4-Dihydroxy-midazolam	C1=CC=C(C(=C1)C2=NC(C3=CN=C(N3C4=C2C=C(C=C4)Cl)CO)O)F
1,4-benzothiazine-O-quinonimine	C1C(N=C2C(=CC(=CC2=O)CC(C(=O)O)N)S1)C(=O)O
1,4-dihydroxynaphthalene	C1=CC=C2C(=C1)C(=CC=C2O)O
1,4-naphthoquinone	C1=CC=C2C(=O)C=CC(=O)C2=C1
1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate	C1C(NC(C2=C1C3=CC=CC=C3N2)C(C(C(C(CO)O)O)O)O)C(=O)O
1-(3-pyridinyl)-1,4-butanediol	C1=CC(=CN=C1)C(CCCO)O
1-(methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol	CN(C(CCC(C1=CN=CC=C1)O)O)N=O
1-Acylglycerone 3-Phosphate	C(C(=O)COP(=O)(O)O)OC=O
1-Arachidonoyl Glycerol	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(CO)O
1-Arachidonoyl-Glycero-3-Phosphocholine	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O
1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)(O)OCCN)O
1-Arachidonoylglycerophosphoinositol	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)O
1-Heptadecanoylglycerophosphocholine	CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O
1-Linoleoylglycerol	CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O
1-Myristoylglycerophosphocholine	CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O
1-Oleoylglycerol	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O
1-Palmitoylglycerol	CCCCCCCCCCCCCCCC(=O)OCC(CO)O
1-Palmitoylglycerophosphocholine	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O
1-Palmitoylglycerophosphoinositol	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OC1C(C(C(C(C1O)O)O)O)O)O
1-Stearoylglycerol	CCCCCCCCCCCCCCCCCC(=O)C(C(CO)O)O
1-Stearoylglycerophosphocholine	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O
1-Stearoylglycerophosphoethanolamine	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])O
1-Stearoylglycerophosphoinositol	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OC1C(C(C(C(C1O)O)O)O)O)O
1-alkyl-2-acylglycerol	C(C(CO)OC=O)O
1-alkyl-2-acylglycerophosphoethanolamine	C(COP(=O)(O)OCC(CO)OC=O)N
1-alpha,24R,25-trihydroxyvitamin D2	CC(C=CC(C)(C(C)(C)O)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
1-alpha,25-dihydroxyvitamin D2	CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
1-deoxy-1-(N6-lysino)-D-fructose	C(CCNCC1(C(C(C(O1)CO)O)O)O)CC(C(=O)O)N
1-hydroperoxy-8-carboxyoctyl-3,4-epoxynon-(2E)-enyl-ether	B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N
1-lyso-2-arachidonoyl-phosphatidate	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COP(=O)(O)O
1-methylnicotinamide	C[N+]1=CC=CC(=C1)C(=O)N
1-methylpyrrolinium	C[N+]1=CCCC1
1-naphthol	C1=CC=C2C(=C1)C=CC=C2O
1-naphthylamine	C1=CC=C2C(=C1)C=CC=C2N
1-nitro-5,6-dihydroxy-dihydronaphthalene	C1=CC2=C(C=CC(C2O)O)C(=C1)[N+](=O)[O-]
1-nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene	C1=CC2=C(C=CC(C2SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)C(=C1)[N+](=O)[O-]
1-nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	C1=CC2=C(C=CC(C2O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=C1)[N+](=O)[O-]
1-nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	C1=CC2=C(C(C(C=C2)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)C(=C1)[N+](=O)[O-]
