uniprot,mw,abundance
P38115,38884.0,0.000315
P38179,52861.0,1.9e-05
P32789,76372.0,1.37e-06
P32629,58182.0,1.05e-05
P53309,64328.0,6.97e-05
P36000,81869.0,6.57e-05
Q12028,93624.0,5.0799999999999995e-05
P07249,19488.0,1.03e-06
P53974,71373.0,1.7199999999999998e-05
P38266,103863.0,3.08e-06
Q12013,85236.0,9.13e-06
P53178,22661.0,2.3899999999999998e-05
P38065,115012.0,1.9699999999999998e-05
Q00381,17373.0,1.37e-05
P46682,91607.0,7.05e-05
P37302,60137.0,0.000716
P47036,15652.0,0.00015528148944099398
P07347,27603.0,0.0002
P11076,20529.0,0.000472
P40994,20696.0,0.000221
Q2V2Q1,12739.0,7.490000000000002e-07
P29589,19776.0,1.38e-06
P03875,96079.0,5e-09
P36154,18436.0,3.41e-05
P46680,67326.0,0.000204
Q12476,39344.0,2e-05
P10869,58110.0,0.00063
P54114,55385.0,0.00017
P54115,54414.0,0.005292
P47064,21938.0,2.51e-05
P22936,41439.0,0.000188
P15274,93302.0,0.000116
Q99186,55387.0,3.28e-05
P22108,36841.0,4.35e-05
Q12354,24700.0,2.67e-05
Q08702,25757.0,5.54e-06
P0CD91,32713.0,1.03e-06
P36090,58895.0,4.09e-05
P38856,71660.0,1.2e-05
Q00776,53874.0,4.7799999999999996e-05
P25628,71613.0,2.57e-06
P25649,15117.0,1.3199999999999999e-05
P52923,41335.0,1.45e-05
P87275,15753.0,1.7100000000000002e-05
P23180,53135.0,0.000127
P38884,36502.0,1.7e-05
Q12032,21229.0,0.00011
Q08548,72228.0,6.05e-05
P43633,86087.0,2.15e-05
P32375,50126.0,2.23e-06
P38971,64014.0,1.53e-07
P50082,67027.0,1.18e-06
P22580,61410.0,1.42e-06
P14904,57093.0,8.51e-05
P38832,16635.0,0.00015528148944099398
Q08951,106924.0,0.000146
P27351,80453.0,2.5699999999999998e-05
P53068,28777.0,1.38e-05
P53940,58889.0,4.88e-06
P53933,66134.0,2.14e-05
P19146,20658.0,0.000273
Q01217,94869.0,0.000227
Q04728,47849.0,0.00015
P53090,56178.0,0.000734
P0CX78,38687.0,1.23e-06
P35183,48349.0,1.88e-05
P38316,21106.0,1.2700000000000001e-06
Q07528,72546.0,1.01e-05
P25568,58844.0,1.19e-06
Q06485,20400.0,0.000146
P38182,13627.0,2.34e-05
P32907,30701.0,1.22e-06
P81450,6688.0,9.109999999999999e-05
Q12165,17020.0,1.43e-05
P16639,57930.0,2.12e-05
Q06628,83281.0,4.059999999999999e-06
P43601,55102.0,2.01e-05
Q06671,51540.0,6.76e-06
P46989,30201.0,0.000129
Q12421,22191.0,6.14e-06
P40344,35887.0,3.96e-05
P38862,71428.0,2.08e-06
P00854,29099.0,1.38e-06
P30902,19810.0,0.000156
P07251,58608.0,0.000724
Q12107,30856.0,2.26e-06
P38281,35759.0,5.44e-05
P32454,107755.0,0.000154
P38700,69990.0,2.6e-05
P38207,59445.0,5.6100000000000005e-06
P40024,68377.0,0.000503
P05085,100282.0,5.77e-06
P28777,40838.0,0.000325
Q03862,65213.0,0.000508
P24813,45752.0,7.5e-06
P38153,54837.0,3.98e-05
P16550,36493.0,0.000983
Q12157,18865.0,1.1599999999999999e-05
P53886,196162.0,4.09e-06
Q12440,99978.0,6.31e-06
Q04601,75256.0,1.43e-05
Q08683,79275.0,4.58e-06
P40532,16508.0,1.29e-05
P49435,20587.0,0.000207
P36973,19986.0,1.35e-05
P38731,70899.0,1.99e-06
P08566,174755.0,0.000456
P80428,54832.0,1.95e-05
P38328,42475.0,5.8700000000000004e-05
P33204,19916.0,0.000101
P40518,17134.0,0.000129
P18634,59758.0,9.16e-06
Q8TGM5,7789.0,2.69e-06
P53111,38083.0,0.000141
P04076,51989.0,0.000316
Q04052,108205.0,4.87e-06
P53104,101717.0,1.25e-05
Q02887,55188.0,5.25e-05
Q06321,136054.0,6.730000000000001e-06
Q12092,24708.0,1.01e-05
P40458,58969.0,8.72e-05
P46983,33740.0,1.17e-06
P53722,26890.0,2.07e-05
P38696,42995.0,1.6100000000000002e-05
P53983,77649.0,3.79e-06
Q12675,182619.0,2.1899999999999997e-05
P53855,178414.0,9.92e-06
Q06408,71384.0,0.000111
P38840,58528.0,0.000119
Q12509,50044.0,8.880000000000001e-06
Q12406,53810.0,5.43e-05
P53731,39566.0,0.000204
Q05933,20579.0,0.000242
Q06541,38194.0,1.6000000000000001e-06
P46993,24946.0,1.4099999999999998e-06
P32448,59347.0,1.8e-05
P34233,65685.0,1.8100000000000003e-05
P53895,32986.0,4.07e-06
P13586,104571.0,0.000249
Q12674,188319.0,5.7999999999999995e-06
P35193,47599.0,1.2699999999999999e-05
Q12380,33560.0,6.56e-06
Q12359,30028.0,1.95e-05
Q03153,70414.0,2.2800000000000002e-05
P21306,6743.0,0.000135
Q04212,38220.0,0.000104
P18544,46681.0,0.000191
P00812,35662.0,0.00063
P38116,20434.0,8.51e-05
P14843,41070.0,0.00028
P32381,44074.0,0.000158
P53244,65477.0,2.42e-05
Q06822,50563.0,2.39e-06
P35734,32072.0,3.9399999999999995e-05
Q04489,59469.0,4.23e-05
P0CX79,38687.0,1.19e-05
P38986,41395.0,4.02e-05
P22768,46928.0,0.000879
P38724,69566.0,1.17e-06
P53946,87560.0,4.73e-05
Q06598,45848.0,1.44e-06
P50275,101624.0,8.92e-06
P32447,31603.0,7.02e-05
P48361,126864.0,2.35e-05
P0CX77,38687.0,9.1e-08
P39945,48371.0,1.53e-05
Q05789,25975.0,2.43e-06
Q12142,115403.0,5.65e-07
P48016,136921.0,1.2700000000000001e-06
P40416,77522.0,3.55e-05
Q12233,12921.0,0.000155
P0CZ17,38687.0,1.28e-06
Q06834,33347.0,1.59e-06
P39524,153765.0,2.6399999999999998e-05
P39986,135269.0,0.000202
P38270,40454.0,1.21e-06
P25641,58435.0,2.6600000000000003e-05
Q06410,48656.0,5.39e-06
Q12048,14986.0,7.29e-06
P32453,36851.0,4.73e-05
Q12349,14128.0,0.00019
P61829,7759.0,1.3999999999999998e-08
Q06405,11312.0,0.000169
P38929,130861.0,1.6800000000000002e-05
P32660,177798.0,1.84e-05
P40353,61036.0,1.98e-05
Q07879,19760.0,1.28e-06
Q12527,135025.0,3.96e-06
Q03818,17222.0,7.58e-06
Q12292,46655.0,3.67e-06
Q06159,46628.0,1.29e-06
P13587,120357.0,7.170000000000001e-05
P18496,32094.0,2.09e-05
P50273,79756.0,2.43e-06
P00830,54794.0,0.001712
P41696,101170.0,7.24e-06
Q8TGM7,6921.0,3.3e-07
P40467,108781.0,1.73e-05
P40527,130218.0,1.4099999999999999e-05
Q99325,29693.0,2.59e-05
P01097,9870.0,3.2e-05
Q01896,120317.0,1.55e-05
P05626,26925.0,0.000321
P09457,22814.0,0.000711
Q04749,47139.0,1.5199999999999998e-05
P39981,53324.0,2.1000000000000003e-08
P53296,61898.0,3.15e-05
P53867,55143.0,3e-05
P38110,321524.0,3.02e-06
Q12691,120296.0,1.5199999999999998e-05
P22135,36554.0,6.92e-05
P81451,7534.0,3.75e-05
P38077,34351.0,0.000547
P38636,8221.0,1.3e-05
P38928,90783.0,1.06e-05
Q12226,52837.0,1.4299999999999999e-06
P32449,39749.0,0.001173
Q04549,33018.0,1.2e-06
Q12386,100209.0,2.98e-05
Q05123,53074.0,3.1899999999999996e-05
Q06597,14883.0,1.7e-08
P54074,71444.0,1.9600000000000002e-05
P49089,64470.0,0.0014
P49090,64593.0,0.001823
P00856,5822.0,0.00015528148944099398
P81449,10876.0,5.5799999999999994e-05
P38111,273342.0,1.03e-06
Q12500,86426.0,7.99e-05
P47082,65346.0,1.82e-05
P50944,80026.0,1.9699999999999998e-06
P40501,53737.0,1.39e-05
P38084,67769.0,0.00024
P36122,88044.0,3.13e-05
P33306,93738.0,2.52e-06
P22804,15720.0,6.9e-06
P13090,59983.0,3.31e-05
P31386,36467.0,1.37e-06
P38360,131875.0,3.4700000000000002e-06
Q12067,34408.0,1.24e-06
Q08409,157751.0,5.0800000000000005e-06
P41815,67365.0,6.18e-05
P12630,63730.0,2.1e-05
P47176,41625.0,0.000357
P32839,51107.0,2.4e-05
P38995,109829.0,3.89e-06
Q12128,46216.0,1.76e-06
P39011,70993.0,6.52e-05
P38772,42334.0,2.8800000000000002e-05
P40013,38362.0,3.84e-05
P32451,41884.0,1.37e-05
P35727,13521.0,2e-05
P38041,109295.0,5.0600000000000003e-05
P39969,115688.0,1.87e-05
Q3E793,12537.0,5.28e-06
P38770,53385.0,1.45e-05
Q05611,26582.0,1.05e-05
Q08280,55084.0,5.940000000000001e-06
P47041,60841.0,1.85e-05
P34730,31061.0,0.000821
P39724,13356.0,8.36e-05
P26448,35028.0,2.44e-06
P27637,78981.0,1.9699999999999998e-05
P43573,91422.0,2.52e-05
Q12064,20893.0,1.71e-06
P25558,184719.0,1.01e-05
P41697,88817.0,3.4200000000000005e-05
P53836,118280.0,1.87e-05
P36107,45193.0,5.69e-05
Q08236,131379.0,8.23e-06
P40074,48840.0,1.08e-06
P40851,138332.0,1.08e-05
P40471,32814.0,5.11e-05
Q02948,63261.0,2.72e-05
Q03630,18434.0,1.95e-06
P43583,245996.0,3.12e-05
Q08965,135571.0,3.59e-05
P43132,58347.0,1.4099999999999999e-05
P32639,246185.0,2.8899999999999998e-05
Q08235,33531.0,0.000192
P53755,54831.0,1.55e-06
P41695,117868.0,5.62e-06
Q08492,24385.0,2.73e-05
P25300,75046.0,1.9699999999999998e-05
Q05949,45721.0,3.6700000000000004e-05
P22035,89604.0,1.06e-05
P11709,51092.0,8.41e-06
P50084,15840.0,1.2700000000000001e-06
Q06150,66344.0,2.99e-06
P25385,27500.0,9.18e-06
P53741,57674.0,0.000213
P48582,97276.0,0.000121
Q12140,34796.0,1.34e-06
Q07992,13880.0,1.35e-06
P47136,164486.0,1.6899999999999997e-05
P41698,66289.0,2.3e-06
Q12191,38295.0,6.77e-05
P32450,11722.0,1.1e-06
P47068,128297.0,7.290000000000001e-05
Q12365,45384.0,1.3300000000000001e-05
Q05029,82049.0,6.25e-05
P39960,245430.0,3.48e-05
P38934,54639.0,0.000666
P53890,49694.0,3.14e-05
P53958,43749.0,2.8500000000000002e-06
Q07457,80692.0,6.220000000000001e-05
P53062,22807.0,6.63e-06
P53841,15314.0,1.45e-07
P43571,117755.0,9.45e-07
P47040,46383.0,1.6299999999999999e-06
P40450,156852.0,6.82e-06
Q99177,39860.0,1.82e-05
P53286,47168.0,5.62e-06
P39988,35559.0,4.2800000000000005e-06
Q04347,60054.0,4.98e-05
P25337,18447.0,3.26e-05
P53226,60751.0,8.890000000000001e-06
P23293,74239.0,2.6399999999999998e-05
P53829,41155.0,0.000233
P06787,16135.0,0.000198
P25296,19639.0,3.98e-05
P53744,62428.0,9.02e-07
P53630,26257.0,1.61e-06
Q06333,13957.0,7.4e-06
Q01532,55483.0,6.5e-05
P38278,38550.0,7.93e-06
Q07660,129725.0,2.0699999999999997e-06
P26449,38445.0,1.56e-05
Q08004,18517.0,0.000109
Q03783,11234.0,1.24e-06
P33314,126663.0,2.05e-05
P53323,29936.0,3.51e-05
Q08754,84830.0,1.99e-05
P48524,109174.0,9.050000000000001e-06
P47158,57055.0,2.75e-05
P36062,75459.0,6.9e-06
P38176,50892.0,1.03e-06
P47113,66086.0,1.2800000000000001e-05
P15703,34119.0,0.000486
P38813,39069.0,3.1100000000000004e-05
P41832,219673.0,1.43e-05
P53858,100590.0,8.06e-06
P53082,14102.0,0.000116
P25356,250872.0,1.66e-06
P50080,67169.0,1.73e-06
Q01389,164195.0,3.74e-06
Q07442,72513.0,3.5799999999999996e-05
P36149,22129.0,3.73e-05
P50277,53709.0,2.18e-07
Q06071,14549.0,1.74e-05
P29311,30091.0,0.002294
Q12186,53034.0,4.8700000000000005e-05
P38891,43596.0,0.001319
Q06338,32661.0,0.000145
P35817,76978.0,0.000155
P39714,41582.0,0.000174
P39713,46099.0,3.4399999999999996e-05
Q08347,72646.0,1.4e-07
P29366,61605.0,7.4e-05
P32873,124913.0,2.49e-05
Q06631,61203.0,0.000208
P38346,61219.0,1.48e-06
Q12291,42041.0,6.17e-06
P47039,50082.0,4.66e-05
P40580,28804.0,3.7e-05
P36076,65238.0,4.22e-05
P32796,77242.0,9.120000000000001e-05
P43569,33090.0,5.67e-05
P04817,65785.0,5.56e-05
P37267,17532.0,1.67e-05
P48237,101423.0,3.8799999999999994e-05
P40493,39402.0,2.77e-05
P14772,176874.0,7.64e-06
P53194,13790.0,1.29e-06
P38356,35764.0,3.3799999999999995e-05
O94143,11666.0,0.00015528148944099398
P85052,18006.0,0.00015528148944099398
P07253,18679.0,8.22e-05
P27614,64597.0,8.709999999999999e-05
P38822,71171.0,0.000125
P27825,56968.0,4.3299999999999995e-05
P07258,45362.0,0.000242
P53934,45497.0,9.15e-06
P48558,33645.0,2.0299999999999996e-06
P36106,67901.0,1.4099999999999999e-05
P07245,102205.0,0.000795
P03965,123915.0,0.001118
P53894,86946.0,8.92e-06
P09440,106217.0,0.000277
P80235,77766.0,7.17e-06
P43568,42186.0,1.83e-05
P17106,39388.0,0.000176
P0C155,65093.0,0.00015528148944099398
P14066,26586.0,5.860000000000001e-06
P36038,31157.0,2.2799999999999998e-06
Q04199,51252.0,2.73e-05
P13517,32629.0,9.39e-05
P17555,57521.0,0.000216
P07267,44499.0,0.000113
P53223,27649.0,1.59e-05
P32504,111917.0,1.59e-05
P33322,54705.0,0.000462
P47134,108667.0,2.43e-06
P53838,65028.0,6.69e-06
P48445,76363.0,4.5799999999999995e-05
O13558,12013.0,1.1100000000000002e-06
P39101,44855.0,6.29e-05
P28495,30699.0,7.97e-05
Q06604,64666.0,1.04e-05
P53727,35367.0,6.379999999999999e-05
P25627,30742.0,3.45e-05
Q03758,104786.0,8.2e-06
Q03941,27340.0,2.17e-05
P12962,18223.0,0.000392
P36130,72832.0,9.640000000000001e-06
P53615,24859.0,0.000205
P15202,58555.0,1.6100000000000002e-05
P00431,40353.0,0.000121
Q06703,35693.0,1.24e-06
P21269,62485.0,0.00014
P39525,47555.0,2.3899999999999998e-05
P36012,26841.0,1.18e-05
Q12102,96254.0,3.9e-05
P13365,64991.0,1.26e-06
P24869,56247.0,1.73e-05
Q12114,73639.0,0.000118
Q06702,34642.0,1.49e-06
P32797,104904.0,1.57e-05
P27636,110242.0,5.95e-06
P06704,18751.0,4.96e-06
P25656,44982.0,1.07e-05
P32562,81031.0,1.48e-05
Q06697,44456.0,2.99e-05
P41733,44741.0,2.02e-06
P53197,62821.0,1.21e-06
Q12453,84769.0,3.46e-05
P24868,54871.0,4.61e-06
P38147,60017.0,2.35e-05
P06115,64583.0,2.9e-05
P40969,71358.0,2.51e-05
P32582,56022.0,0.001271
P50077,234599.0,2.2799999999999998e-06
Q12127,13058.0,0.002331
P32468,46668.0,8.82e-05
Q00684,61907.0,8.35e-05
Q08032,74249.0,1.7800000000000002e-05
O13547,23268.0,0.001713
P40986,57147.0,3.84e-05
P25694,91996.0,0.001224
P53188,14417.0,5.6399999999999995e-05
P32943,44145.0,1.69e-06
P32656,26294.0,1.87e-05
P32657,168241.0,4.3299999999999995e-05
P34237,77514.0,4.24e-05
P39113,160485.0,2.34e-06
P35203,56336.0,1.1e-07
P03874,73861.0,1.82e-05
P14905,44608.0,2.18e-05
P11433,96940.0,2.3899999999999998e-05
P09119,58037.0,2.4e-06
Q03702,41000.0,2.23e-06
P38273,80732.0,2.8899999999999998e-05
Q05791,41852.0,4.77e-05
P25342,37025.0,0.000162
P26309,67360.0,4.07e-06
P20438,61697.0,1.36e-05
P06182,30081.0,5.97e-05
P31384,94670.0,4.46e-05
P40202,27330.0,0.000437
Q7LHD1,13713.0,0.00015528148944099398
P06243,58320.0,2.58e-05
Q06549,15536.0,3.97e-05
P47818,34250.0,3.71e-05
P37366,45210.0,9.15e-05
P00546,34061.0,0.000113
P47112,68405.0,2.2899999999999998e-05
P04821,179092.0,2.3199999999999998e-05
P14724,14081.0,2.4100000000000002e-06
P38042,85396.0,1.08e-05
P06101,58385.0,0.000176
Q12018,93944.0,0.000165
P14180,109882.0,1.54e-06
P27895,113311.0,4.9000000000000005e-06
Q06156,132967.0,2.47e-05
P07252,76172.0,2.3199999999999998e-05
P21560,39084.0,0.000162
P16522,73114.0,4.08e-06
P38221,51823.0,3.39e-05
P24870,49476.0,1.01e-05
P30283,50431.0,4.59e-06
P05374,101204.0,6.82e-05
P08004,129871.0,1.66e-05
P29465,131601.0,2.48e-05
P00890,53360.0,0.00015
Q12510,59156.0,3.65e-05
P53865,67400.0,1.86e-05
P33313,44112.0,6.2e-05
P40452,22044.0,1.9399999999999997e-05
P32458,47649.0,0.000115
P09798,94992.0,3.99e-05
P32457,60054.0,0.000362
P19073,21323.0,2.95e-05
P07834,86090.0,1.6499999999999999e-06
P38910,11372.0,0.000358
P43634,74393.0,5.639999999999999e-06
P40019,17463.0,2.45e-05
P40955,86042.0,1.36e-05
P39110,22067.0,8.279999999999999e-06
P53264,52045.0,5.7e-08
P43618,41313.0,1.43e-05
Q06632,153405.0,1.1400000000000001e-05
P20437,62050.0,5.12e-06
P24871,53853.0,2e-06
P38779,42530.0,0.000687
P47001,23242.0,0.000118
P20486,17795.0,0.000136
Q12309,82445.0,2.12e-05
P35190,51571.0,1.71e-06
P22137,187234.0,0.000603
Q08685,50226.0,2.26e-05
P22516,98806.0,3.04e-06
Q01649,69070.0,3.2999999999999997e-06
P40987,116648.0,9.73e-06
Q03705,20662.0,5.91e-06
P29029,59015.0,7.840000000000001e-05
P38907,52672.0,8.210000000000001e-06
P32178,29747.0,0.000462
D6W196,55715.0,1.2699999999999999e-05
Q07897,33394.0,3.1e-05
P00729,59802.0,0.000524
Q03654,67731.0,1.21e-05
O13297,61850.0,5.61e-05
P53280,128780.0,1.45e-05
P40558,31922.0,8.33e-06
Q06350,59118.0,2.76e-05
P43635,53811.0,2.12e-05
P38323,57946.0,0.000147
P38170,86216.0,9.83e-06
Q06680,117851.0,2.0300000000000002e-05
P53332,34307.0,4.7799999999999996e-05
Q06096,98666.0,2.35e-05
P17891,26532.0,0.000125
P38843,34898.0,1.93e-05
Q05583,37275.0,4.96e-05
P08679,51413.0,5.8399999999999997e-05
P27680,36331.0,5.37e-06
P48562,93909.0,5.53e-06
Q03690,145166.0,0.00046
Q3E7B2,9882.0,2.62e-05
Q08058,23765.0,1.19e-06
P52924,43867.0,2.16e-05
P43542,45312.0,2.37e-06
Q07788,45680.0,3.2099999999999998e-06
P21592,52148.0,2.1499999999999997e-06
P04039,8907.0,3.4e-05
Q3E7A9,8202.0,1.71e-06
Q3E823,7533.0,4.7e-08
Q05809,11239.0,1.63e-05
Q3E846,12445.0,2.95e-05
P53271,30325.0,5.0700000000000006e-05
P0CX13,45165.0,7.43e-06
P53344,45678.0,1.2699999999999999e-05
P00424,17140.0,7.55e-05
P00425,17197.0,2.97e-05
P53951,45604.0,1.85e-05
P53959,96976.0,3.77e-05
P47081,14077.0,7.63e-06
P53239,35650.0,6.47e-06
P32344,12772.0,2.95e-06
P04037,17143.0,0.000212
P00427,17342.0,0.000408
Q3E7A4,12947.0,4.1e-05
P53622,135607.0,0.000585
Q05892,31524.0,3.1e-05
P18900,52560.0,3.6200000000000006e-05
Q01519,9788.0,0.000132
P32799,15021.0,1.24e-05
P07255,6963.0,0.000316
P14306,24357.0,2.8100000000000002e-05
Q03048,15901.0,0.000699
P53079,48337.0,2.99e-05
P40094,92544.0,4.93e-05
P41811,99445.0,0.001195
P53318,53527.0,5.54e-05
P53053,44804.0,1.44e-06
P47187,45709.0,8.97e-06
P36034,48545.0,1.5800000000000001e-06
Q12287,8056.0,6.85e-05
P00401,58798.0,5.41e-06
Q04935,23758.0,1.83e-05
P38824,17318.0,1.95e-05
P00420,30360.0,0.00015528148944099398
P10174,6932.0,3.97e-05
P36064,13007.0,8e-06
P53314,26732.0,1.85e-05
P32623,49906.0,5.7e-05
P41810,109019.0,0.000377
P32074,104831.0,0.000897
P00410,28567.0,3.09e-05
Q05790,47356.0,1.16e-06
P38308,104615.0,1.13e-06
P15790,44668.0,0.000105
P38892,33785.0,4.43e-05
P53301,52758.0,0.000256
Q06538,89344.0,1.22e-06
Q04368,34520.0,1.34e-06
Q08955,18307.0,2.6e-08
Q12348,76388.0,1.3e-05
Q06032,53863.0,1.22e-06
P49956,84373.0,3.22e-06
Q01454,104425.0,3.9399999999999995e-05
P47977,32314.0,3.2599999999999997e-06
Q08923,57053.0,1.95e-05
Q03220,36974.0,1.19e-06
P38865,21651.0,7.860000000000001e-06
P53088,39987.0,4.6299999999999994e-05
P38428,22763.0,1.18e-05
P53202,86115.0,4.75e-06
Q03772,19935.0,7.15e-06
P25603,15469.0,0.00015528148944099398
P53008,96507.0,6.53e-05
P07143,34055.0,0.00038
O13525,38627.0,1.49e-05
P41735,26060.0,1.72e-06
P27697,56742.0,1.9699999999999998e-05
Q05779,29958.0,3.77e-05
P39103,7959.0,7.340000000000001e-05
P40086,54658.0,5.23e-05
Q3E731,11105.0,6.78e-05
P19454,39404.0,0.000111
P53859,31583.0,0.000183
Q03957,60501.0,1.42e-05
P38818,68284.0,3.18e-05
Q08412,46870.0,5.72e-05
P46946,40097.0,1.07e-05
Q06440,72553.0,0.000116
P0CX12,45165.0,2.25e-06
P38723,45880.0,3.03e-05
P19516,34044.0,1.68e-06
Q12289,34754.0,7.16e-06
P41902,7321.0,1.28e-06
P40465,24953.0,6.03e-06
Q12734,124849.0,1.7800000000000001e-06
P53899,31517.0,5.2600000000000005e-05
Q03375,15763.0,9.31e-06
P53854,20374.0,1.23e-05
P08678,227834.0,1.74e-05
P00163,43656.0,2e-08
Q04930,51697.0,1.1399999999999999e-06
Q08226,109715.0,2.13e-06
P38287,44382.0,8.35e-06
P38930,29842.0,0.000256
P25651,21751.0,2.13e-05
Q06705,47463.0,0.000148
P47976,36772.0,1.77e-06
Q04201,12893.0,2.86e-05
P15315,24425.0,1.84e-05
P28320,32312.0,2.6399999999999998e-05
P25618,107883.0,1.37e-05
P10614,60720.0,0.000791
P17898,44829.0,1.99e-05
P38845,51116.0,0.000202
P47130,49482.0,3.13e-05
P38226,45515.0,1.9699999999999998e-05
P89105,124709.0,0.000157
P53923,56473.0,3.3700000000000006e-05
P53600,21688.0,6.14e-05
P49017,34685.0,7.96e-05
P53822,45288.0,2.76e-05
P32798,48155.0,3.1899999999999996e-05
Q07560,32020.0,9.55e-06
