(+)-alpha-pinene	CC1=CCC2CC1C2(C)C
(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	
(2E)-Octadecenoyl-ACP	
(2E)-decenoyl-CoA	CCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-decenoyl-[ACP]	
(2E)-docosenoyl-CoA	CCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-dodecenoyl-CoA	CCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-dodecenoyl-[ACP]	
(2E)-eicosenoyl-CoA	CCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-heneicosenoyl-CoA	
(2E)-heptadecenoyl-CoA	
(2E)-heptadecenoyl-[ACP]	
(2E)-heptenoyl-CoA	CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-heptenoyl-[ACP]	
(2E)-hexacosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-hexadecenoyl-CoA	CCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-hexadecenoyl-[ACP]	
(2E)-hexenoyl-CoA	CCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-hexenoyl-[ACP]	
(2E)-nonadecenoyl-CoA	
(2E)-nonenoyl-CoA	CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-nonenoyl-[ACP]	
(2E)-octadecenoyl-CoA	CCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-octenoyl-CoA	CCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-octenoyl-[ACP]	
(2E)-pentadecenoyl-CoA	CCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-pentadecenoyl-[ACP]	
(2E)-pentenoyl-CoA	CCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-pentenoyl-[ACP]	
(2E)-tetracosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-tetradecenoyl-CoA	CCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-tetradecenoyl-[ACP]	
(2E)-tricosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-tridecenoyl-CoA	
(2E)-tridecenoyl-[ACP]	
(2E)-undecenoyl-CoA	
(2E)-undecenoyl-[ACP]	
(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	
(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	
(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2R)-pristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2R,6R,10R)-trimethyl-hendecanoyl-CoA	
(2S)-pristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA	
(2S,6R,10R)-trimethyl-hendecanoyl-CoA	CC(C)CCCC(C)CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(3E,5Z,8Z)-Tetradecatrienoyl Coenzyme A	
(3S)-3-Hydroxy-Cis-8-Tetradecenoyl Coenzyme A	
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	CCCCCC=CCC=CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3S)-3-hydroxydodec-cis-6-enoyl-CoA	CCCCCC=CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3S)-3-hydroxylinoleoyl-CoA	CCCCCC=CCC=CCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3S)-citramalyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(C(=O)O)O)O
(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA	
(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA	
(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	CCCCCC=CCC=CCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(3Z)-dodecenoyl-CoA	CCCCCCCCC=CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(3Z,7Z,10Z)-hexadecatrienoyl-CoA	
(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA	
(4Z,7Z,10Z)-hexadecatrienoyl-CoA	
(4Z,7Z,10Z,13Z,16Z)-DPA	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(5-L-glutamyl)-L-amino acid	
(5S,6S)-epoxy-(15R)-hydroxy-ETE	
(5Z)-dodecenoyl-CoA	CCCCCCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(5Z,8Z,11Z)-eicosatrienoyl-CoA	CCCCCCCCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(5Z,8Z,11Z)-eicosatrienoylcarnitine	
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	
(6Z,9Z)-octadecadienoic acid	CCCCCCCCC=CCC=CCCCCC(=O)O
(6Z,9Z)-octadecadienoyl-CoA	CCCCCCCCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z)-octadecadienoylcarnitine	
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	
(6Z,9Z,12Z,15Z,18Z)-TPA	
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine	
(6Z,9Z,12Z,15Z,18Z,21Z)-THA	
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine	
(7Z)-octadecenoic acid	
(7Z)-octadecenoyl-CoA	CCCCCCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(7Z)-tetradecenoic acid	
(7Z)-tetradecenoyl-CoA	CCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
(8Z,11Z)-eicosadienoyl-CoA	CCCCCCCCC=CCC=CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(8Z,11Z)-eicosadienoylcarnitine	
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	
(9E)-octadecenoyl-CoA	CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(9E)-octadecenoylcarnitine	
(9E)-tetradecenoic acid	CCCCC=CCCCCCCCC(=O)O
(9E)-tetradecenoyl-CoA	
(9Z,12Z,15Z,18Z)-TTA	
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine	
(9Z,12Z,15Z,18Z,21Z)-TPA	
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine	
(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1	
(R)-3-hydroxybutanoate	CC(CC(=O)O)O
(R)-3-hydroxybutanoyl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(R)-3-hydroxybutanoyl-[ACP]	
(R)-3-hydroxydecanoyl-[ACP]	
(R)-3-hydroxyoctanoyl-[ACP]	
(R)-3-hydroxypalmitoyl-[ACP]	
(R)-4-phosphopantothenoyl-cysteine	
(R)-5-diphosphomevalonate	CC(CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O
(R)-5-phosphomevalonate	CC(CCOP(=O)(O)O)(CC(=O)O)O
(R)-S-lactoylglutathione	CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(R)-methylmalonyl-CoA	CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(R)-mevalonate	CC(CCO)(CC(=O)[O-])O
(S)-2-aminobutanoate	CCC(C(=O)O)N
(S)-3-Hydroxyoctadecanoyl Coenzyme A	
(S)-3-hydroxy-11-cis-octadecenoyl-CoA	CCCCCCC=CCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O
(S)-3-hydroxy-2-methylbutyryl-CoA	CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(S)-3-hydroxy-7-hexadecenoyl-CoA	
(S)-3-hydroxybutyryl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxydodecanoyl-CoA	CCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxyoleyleoyl-CoA	
(S)-3-hydroxypalmitoleoyl-CoA	CCCCCCC=CCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-hydroxytetradecanoyl-CoA	CCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-sulfolactate	C(C(C(=O)O)O)S(=O)(=O)O
(S)-Glycerate	C(C(C(=O)O)O)O
(S)-dihydroorotate	C1C(NC(=O)NC1=O)C(=O)O
(S)-hydroxydecanoyl-CoA	CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-hydroxyhexanoyl-CoA	CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-hydroxyoctanoyl-CoA	CCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(Z,Z,Z)-7,10,13-Hexadecatrienoic Acid	CCC=CCC=CCC=CCCCCCC(=O)O
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	
(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O
(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)	
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)	
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A)	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)	
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	CC(C(=O)O)N
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	COC1=CC=C(C=C1)I
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)	
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	
1'-OH-midazolam	
1'-OH-midazolam-glucuronide	
1,1-dichloroethylene	C=C(Cl)Cl
1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal	COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C(C(=C1)O)C(CO)C(C=O)O
1,2-dehydrosalsolinol	CC1=NCCC2=CC(=C(C=C12)O)O
1,2-diacylglycerol-LD-PC pool	
1,2-diacylglycerol-LD-PE pool	
1,2-diacylglycerol-LD-PI pool	
1,2-diacylglycerol-LD-PS pool	
1,2-diacylglycerol-LD-SM pool	
1,2-diacylglycerol-LD-TAG pool	
1,2-diacylglycerol-VLDL pool	
1,2-diacylglycerol-bile-PC pool	
1,2-diacylglycerol-chylomicron pool	
1,2-dibromoethane	C(CBr)Br
1,2-dihydronaphthalene-1,2-diol	C1=CC=C2C(C(C=CC2=C1)O)O
1,2-dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene	C1=CC=C2C3C(O3)C(C(C2=C1)O)O
